STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,SECTOR,Institutional sector,COUNTERPART_SECTOR,Counterpart institutional sector,TRANSACTION,Transaction,INSTR_ASSET,Financial instruments and non-financial assets,ACTIVITY,Economic activity,EXPENDITURE,Expenditure,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TRANSFORMATION,Transformation,TABLE_IDENTIFIER,Table identifier,TIME_PERIOD,Time period,OBS_VALUE,Observation value,REF_YEAR_PRICE,Price reference year,CONF_STATUS,Confidentiality status,DECIMALS,Decimals,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,CURRENCY,Currency
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(2.0),Annual GDP and components - output approach,I,A,Annual,CHN,China (People’s Republic of),S1,Total economy,S1,Total economy,B1GQ,Gross domestic product,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0101,Table 0101 - Gross value added at basic prices and gross domestic product at market prices,2024,,134908350,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CNY,Chinese yuan renminbi
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(2.0),Annual GDP and components - output approach,I,A,Annual,CHN,China (People’s Republic of),S1,Total economy,S1,Total economy,B1GXP119,"Value added, gross, excluding FISIM",_Z,Not applicable,_T,Total - all activities,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0101,Table 0101 - Gross value added at basic prices and gross domestic product at market prices,2024,,134908350,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CNY,Chinese yuan renminbi
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(2.0),Annual GDP and components - output approach,I,A,Annual,CHN,China (People’s Republic of),S1,Total economy,S1,Total economy,B1G,"Value added, gross",_Z,Not applicable,L,Real estate activities,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0101,Table 0101 - Gross value added at basic prices and gross domestic product at market prices,2024,,8456520,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CNY,Chinese yuan renminbi
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(2.0),Annual GDP and components - output approach,I,A,Annual,CHN,China (People’s Republic of),S1,Total economy,S1,Total economy,B1G,"Value added, gross",_Z,Not applicable,_T,Total - all activities,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0101,Table 0101 - Gross value added at basic prices and gross domestic product at market prices,2024,,134908350,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CNY,Chinese yuan renminbi
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(2.0),Annual GDP and components - output approach,I,A,Annual,CHN,China (People’s Republic of),S1,Total economy,S1,Total economy,B1G,"Value added, gross",_Z,Not applicable,A,"Agriculture, forestry and fishing",_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0101,Table 0101 - Gross value added at basic prices and gross domestic product at market prices,2024,,9661290,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CNY,Chinese yuan renminbi
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(2.0),Annual GDP and components - output approach,I,A,Annual,CHN,China (People’s Republic of),S1,Total economy,S1,Total economy,B1G,"Value added, gross",_Z,Not applicable,BTE,Industry (except construction),_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0101,Table 0101 - Gross value added at basic prices and gross domestic product at market prices,2024,,40544210,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CNY,Chinese yuan renminbi
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(2.0),Annual GDP and components - output approach,I,A,Annual,CHN,China (People’s Republic of),S1,Total economy,S1,Total economy,B1G,"Value added, gross",_Z,Not applicable,F,Construction,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0101,Table 0101 - Gross value added at basic prices and gross domestic product at market prices,2024,,8994930,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CNY,Chinese yuan renminbi
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(2.0),Annual GDP and components - output approach,I,A,Annual,CHN,China (People’s Republic of),S1,Total economy,S1,Total economy,B1G,"Value added, gross",_Z,Not applicable,GTI,Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0101,Table 0101 - Gross value added at basic prices and gross domestic product at market prices,2024,,22194200,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CNY,Chinese yuan renminbi
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(2.0),Annual GDP and components - output approach,I,A,Annual,CHN,China (People’s Republic of),S1,Total economy,S1,Total economy,B1G,"Value added, gross",_Z,Not applicable,K,Financial and insurance activities,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0101,Table 0101 - Gross value added at basic prices and gross domestic product at market prices,2024,,9854420,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CNY,Chinese yuan renminbi
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(2.0),Annual GDP and components - output approach,I,A,Annual,CHN,China (People’s Republic of),S1,Total economy,S1,Total economy,B1G,"Value added, gross",_Z,Not applicable,L,Real estate activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",VQ,Current prices (constant converter),N,Non transformed data,T0101,Table 0101 - Gross value added at basic prices and gross domestic product at market prices,2024,,1225446.341,,2020,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
