"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Year","Series","Currency","SNA System","Fiscal Year Type","Value","Value Footnotes","Value Footnotes"
"China","2.4","Industries","Agriculture, forestry and fishing","A","2024","1000","Yuan Renminbi","2008","Western calendar year","9661290000000","1","1"
"China","2.4","Industries","Manufacturing, mining and quarrying and other industrial activities","B+C+D+E","2024","1000","Yuan Renminbi","2008","Western calendar year","40544210000000","1","1"
"China","2.4","Industries","Construction","F","2024","1000","Yuan Renminbi","2008","Western calendar year","8994930000000","1","1"
"China","2.4","Industries","Wholesale and retail trade, transportation and storage, accommodation and food service activities","G+H+I","2024","1000","Yuan Renminbi","2008","Western calendar year","22194200000000","1","1"
"China","2.4","Industries","Wholesale and retail trade; repair of motor vehicles and motorcycles","G","2024","1000","Yuan Renminbi","2008","Western calendar year","13798090000000","1","1"
"China","2.4","Industries","Transportation and storage","H","2024","1000","Yuan Renminbi","2008","Western calendar year","5923220000000","1","1"
"China","2.4","Industries","Accommodation and food service activities","I","2024","1000","Yuan Renminbi","2008","Western calendar year","2472880000000","1","1"
"China","2.4","Industries","Information and communication","J","2024","1000","Yuan Renminbi","2008","Western calendar year","6343790000000","1","1"
"China","2.4","Industries","Financial and insurance activities","K","2024","1000","Yuan Renminbi","2008","Western calendar year","9854420000000","1","1"
"China","2.4","Industries","Real estate activities","L","2024","1000","Yuan Renminbi","2008","Western calendar year","8456520000000","1","1"
"China","2.4","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2024","1000","Yuan Renminbi","2008","Western calendar year","134908350000000","2","2"
"China","2.4","Industries","Agriculture, forestry and fishing","A","2023","1000","Yuan Renminbi","2008","Western calendar year","9396700000000","1","1"
"China","2.4","Industries","Manufacturing, mining and quarrying and other industrial activities","B+C+D+E","2023","1000","Yuan Renminbi","2008","Western calendar year","39218300000000","1","1"
"China","2.4","Industries","Construction","F","2023","1000","Yuan Renminbi","2008","Western calendar year","8664060000000","1","1"
"China","2.4","Industries","Wholesale and retail trade, transportation and storage, accommodation and food service activities","G+H+I","2023","1000","Yuan Renminbi","2008","Western calendar year","21033210000000","1","1"
"China","2.4","Industries","Wholesale and retail trade; repair of motor vehicles and motorcycles","G","2023","1000","Yuan Renminbi","2008","Western calendar year","13080970000000","1","1"
"China","2.4","Industries","Transportation and storage","H","2023","1000","Yuan Renminbi","2008","Western calendar year","5643830000000","1","1"
"China","2.4","Industries","Accommodation and food service activities","I","2023","1000","Yuan Renminbi","2008","Western calendar year","2308420000000","1","1"
"China","2.4","Industries","Information and communication","J","2023","1000","Yuan Renminbi","2008","Western calendar year","5749840000000","1","1"
"China","2.4","Industries","Financial and insurance activities","K","2023","1000","Yuan Renminbi","2008","Western calendar year","9392690000000","1","1"
"China","2.4","Industries","Real estate activities","L","2023","1000","Yuan Renminbi","2008","Western calendar year","8798150000000","1","1"
"China","2.4","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2023","1000","Yuan Renminbi","2008","Western calendar year","129427170000000","2","2"
"China","2.4","Industries","Agriculture, forestry and fishing","A","2022","1000","Yuan Renminbi","2008","Western calendar year","9257680000000","1","1"
"China","2.4","Industries","Manufacturing, mining and quarrying and other industrial activities","B+C+D+E","2022","1000","Yuan Renminbi","2008","Western calendar year","38865160000000","1","1"
"China","2.4","Industries","Construction","F","2022","1000","Yuan Renminbi","2008","Western calendar year","8143980000000","1","1"
"China","2.4","Industries","Wholesale and retail trade, transportation and storage, accommodation and food service activities","G+H+I","2022","1000","Yuan Renminbi","2008","Western calendar year","19229140000000","1","1"
"China","2.4","Industries","Wholesale and retail trade; repair of motor vehicles and motorcycles","G","2022","1000","Yuan Renminbi","2008","Western calendar year","12217750000000","1","1"
"China","2.4","Industries","Transportation and storage","H","2022","1000","Yuan Renminbi","2008","Western calendar year","5096770000000","1","1"
"China","2.4","Industries","Accommodation and food service activities","I","2022","1000","Yuan Renminbi","2008","Western calendar year","1914620000000","1","1"
"China","2.4","Industries","Information and communication","J","2022","1000","Yuan Renminbi","2008","Western calendar year","5103630000000","1","1"
"China","2.4","Industries","Financial and insurance activities","K","2022","1000","Yuan Renminbi","2008","Western calendar year","8805150000000","1","1"
"China","2.4","Industries","Real estate activities","L","2022","1000","Yuan Renminbi","2008","Western calendar year","8801520000000","1","1"
"China","2.4","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2022","1000","Yuan Renminbi","2008","Western calendar year","123402940000000","2","2"
"China","2.4","Industries","Agriculture, forestry and fishing","A","2021","1000","Yuan Renminbi","2008","Western calendar year","8699480000000","1","1"
"China","2.4","Industries","Manufacturing, mining and quarrying and other industrial activities","B+C+D+E","2021","1000","Yuan Renminbi","2008","Western calendar year","36990370000000","1","1"
"China","2.4","Industries","Construction","F","2021","1000","Yuan Renminbi","2008","Western calendar year","7926980000000","1","1"
"China","2.4","Industries","Wholesale and retail trade, transportation and storage, accommodation and food service activities","G+H+I","2021","1000","Yuan Renminbi","2008","Western calendar year","18186130000000","1","1"
"China","2.4","Industries","Wholesale and retail trade; repair of motor vehicles and motorcycles","G","2021","1000","Yuan Renminbi","2008","Western calendar year","11435800000000","1","1"
"China","2.4","Industries","Transportation and storage","H","2021","1000","Yuan Renminbi","2008","Western calendar year","4843900000000","1","1"
"China","2.4","Industries","Accommodation and food service activities","I","2021","1000","Yuan Renminbi","2008","Western calendar year","1906440000000","1","1"
"China","2.4","Industries","Information and communication","J","2021","1000","Yuan Renminbi","2008","Western calendar year","4550660000000","1","1"
"China","2.4","Industries","Financial and insurance activities","K","2021","1000","Yuan Renminbi","2008","Western calendar year","8640920000000","1","1"
"China","2.4","Industries","Real estate activities","L","2021","1000","Yuan Renminbi","2008","Western calendar year","9039750000000","1","1"
"China","2.4","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2021","1000","Yuan Renminbi","2008","Western calendar year","117382300000000","2","2"
"China","2.4","Industries","Agriculture, forestry and fishing","A","2020","1000","Yuan Renminbi","2008","Western calendar year","8139650000000","1","1"
"China","2.4","Industries","Manufacturing, mining and quarrying and other industrial activities","B+C+D+E","2020","1000","Yuan Renminbi","2008","Western calendar year","31123120000000","1","1"
"China","2.4","Industries","Construction","F","2020","1000","Yuan Renminbi","2008","Western calendar year","7275120000000","1","1"
"China","2.4","Industries","Wholesale and retail trade, transportation and storage, accommodation and food service activities","G+H+I","2020","1000","Yuan Renminbi","2008","Western calendar year","15513670000000","1","1"
"China","2.4","Industries","Wholesale and retail trade; repair of motor vehicles and motorcycles","G","2020","1000","Yuan Renminbi","2008","Western calendar year","9856910000000","1","1"
"China","2.4","Industries","Transportation and storage","H","2020","1000","Yuan Renminbi","2008","Western calendar year","4071210000000","1","1"
"China","2.4","Industries","Accommodation and food service activities","I","2020","1000","Yuan Renminbi","2008","Western calendar year","1585550000000","1","1"
"China","2.4","Industries","Information and communication","J","2020","1000","Yuan Renminbi","2008","Western calendar year","3884320000000","1","1"
"China","2.4","Industries","Financial and insurance activities","K","2020","1000","Yuan Renminbi","2008","Western calendar year","8115900000000","1","1"
"China","2.4","Industries","Real estate activities","L","2020","1000","Yuan Renminbi","2008","Western calendar year","8553390000000","1","1"
"China","2.4","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2020","1000","Yuan Renminbi","2008","Western calendar year","103486760000000","2","2"
"China","2.4","Industries","Agriculture, forestry and fishing","A","2019","1000","Yuan Renminbi","2008","Western calendar year","7357690000000","1","1"
"China","2.4","Industries","Manufacturing, mining and quarrying and other industrial activities","B+C+D+E","2019","1000","Yuan Renminbi","2008","Western calendar year","31101120000000","1","1"
"China","2.4","Industries","Construction","F","2019","1000","Yuan Renminbi","2008","Western calendar year","7078980000000","1","1"
"China","2.4","Industries","Wholesale and retail trade, transportation and storage, accommodation and food service activities","G+H+I","2019","1000","Yuan Renminbi","2008","Western calendar year","15772530000000","1","1"
"China","2.4","Industries","Wholesale and retail trade; repair of motor vehicles and motorcycles","G","2019","1000","Yuan Renminbi","2008","Western calendar year","9686490000000","1","1"
"China","2.4","Industries","Transportation and storage","H","2019","1000","Yuan Renminbi","2008","Western calendar year","4261110000000","1","1"
"China","2.4","Industries","Accommodation and food service activities","I","2019","1000","Yuan Renminbi","2008","Western calendar year","1824920000000","1","1"
"China","2.4","Industries","Information and communication","J","2019","1000","Yuan Renminbi","2008","Western calendar year","3364470000000","1","1"
"China","2.4","Industries","Financial and insurance activities","K","2019","1000","Yuan Renminbi","2008","Western calendar year","7511370000000","1","1"
"China","2.4","Industries","Real estate activities","L","2019","1000","Yuan Renminbi","2008","Western calendar year","8332070000000","1","1"
"China","2.4","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2019","1000","Yuan Renminbi","2008","Western calendar year","100587240000000","2","2"
"China","2.4","Industries","Agriculture, forestry and fishing","A","2018","1000","Yuan Renminbi","2008","Western calendar year","6755870000000","1","1"
"China","2.4","Industries","Manufacturing, mining and quarrying and other industrial activities","B+C+D+E","2018","1000","Yuan Renminbi","2008","Western calendar year","30108900000000","1","1"
"China","2.4","Industries","Construction","F","2018","1000","Yuan Renminbi","2008","Western calendar year","6549300000000","1","1"
"China","2.4","Industries","Wholesale and retail trade, transportation and storage, accommodation and food service activities","G+H+I","2018","1000","Yuan Renminbi","2008","Western calendar year","14605600000000","1","1"
"China","2.4","Industries","Wholesale and retail trade; repair of motor vehicles and motorcycles","G","2018","1000","Yuan Renminbi","2008","Western calendar year","8890370000000","1","1"
"China","2.4","Industries","Transportation and storage","H","2018","1000","Yuan Renminbi","2008","Western calendar year","4063160000000","1","1"
"China","2.4","Industries","Accommodation and food service activities","I","2018","1000","Yuan Renminbi","2008","Western calendar year","1652060000000","1","1"
"China","2.4","Industries","Information and communication","J","2018","1000","Yuan Renminbi","2008","Western calendar year","2873350000000","1","1"
"China","2.4","Industries","Financial and insurance activities","K","2018","1000","Yuan Renminbi","2008","Western calendar year","7061030000000","1","1"
"China","2.4","Industries","Real estate activities","L","2018","1000","Yuan Renminbi","2008","Western calendar year","7763290000000","1","1"
"China","2.4","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2018","1000","Yuan Renminbi","2008","Western calendar year","93601010000000","2","2"
"China","2.4","Industries","Agriculture, forestry and fishing","A","2017","1000","Yuan Renminbi","2008","Western calendar year","6466000000000","1","1"
"China","2.4","Industries","Manufacturing, mining and quarrying and other industrial activities","B+C+D+E","2017","1000","Yuan Renminbi","2008","Western calendar year","27511900000000","1","1"
"China","2.4","Industries","Construction","F","2017","1000","Yuan Renminbi","2008","Western calendar year","5790560000000","1","1"
"China","2.4","Industries","Wholesale and retail trade, transportation and storage, accommodation and food service activities","G+H+I","2017","1000","Yuan Renminbi","2008","Western calendar year","13359640000000","1","1"
"China","2.4","Industries","Wholesale and retail trade; repair of motor vehicles and motorcycles","G","2017","1000","Yuan Renminbi","2008","Western calendar year","8115660000000","1","1"
"China","2.4","Industries","Transportation and storage","H","2017","1000","Yuan Renminbi","2008","Western calendar year","3738370000000","1","1"
"China","2.4","Industries","Accommodation and food service activities","I","2017","1000","Yuan Renminbi","2008","Western calendar year","1505600000000","1","1"
"China","2.4","Industries","Information and communication","J","2017","1000","Yuan Renminbi","2008","Western calendar year","2380890000000","1","1"
"China","2.4","Industries","Financial and insurance activities","K","2017","1000","Yuan Renminbi","2008","Western calendar year","6484430000000","1","1"
"China","2.4","Industries","Real estate activities","L","2017","1000","Yuan Renminbi","2008","Western calendar year","6925710000000","1","1"
"China","2.4","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2017","1000","Yuan Renminbi","2008","Western calendar year","84738290000000","2","2"
"China","2.4","Industries","Agriculture, forestry and fishing","A","2016","1000","Yuan Renminbi","2008","Western calendar year","6245100000000","1","1"
"China","2.4","Industries","Manufacturing, mining and quarrying and other industrial activities","B+C+D+E","2016","1000","Yuan Renminbi","2008","Western calendar year","24540600000000","1","1"
"China","2.4","Industries","Construction","F","2016","1000","Yuan Renminbi","2008","Western calendar year","5149890000000","1","1"
"China","2.4","Industries","Wholesale and retail trade, transportation and storage, accommodation and food service activities","G+H+I","2016","1000","Yuan Renminbi","2008","Western calendar year","12059210000000","1","1"
"China","2.4","Industries","Wholesale and retail trade; repair of motor vehicles and motorcycles","G","2016","1000","Yuan Renminbi","2008","Western calendar year","7372450000000","1","1"
"China","2.4","Industries","Transportation and storage","H","2016","1000","Yuan Renminbi","2008","Western calendar year","3325980000000","1","1"
"China","2.4","Industries","Accommodation and food service activities","I","2016","1000","Yuan Renminbi","2008","Western calendar year","1360780000000","1","1"
"China","2.4","Industries","Information and communication","J","2016","1000","Yuan Renminbi","2008","Western calendar year","2012410000000","1","1"
"China","2.4","Industries","Financial and insurance activities","K","2016","1000","Yuan Renminbi","2008","Western calendar year","5996400000000","1","1"
"China","2.4","Industries","Real estate activities","L","2016","1000","Yuan Renminbi","2008","Western calendar year","6206640000000","1","1"
"China","2.4","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2016","1000","Yuan Renminbi","2008","Western calendar year","76119300000000","2","2"
"China","2.4","Industries","Agriculture, forestry and fishing","A","2015","1000","Yuan Renminbi","2008","Western calendar year","5985260000000","1","1"
"China","2.4","Industries","Manufacturing, mining and quarrying and other industrial activities","B+C+D+E","2015","1000","Yuan Renminbi","2008","Western calendar year","23496900000000","1","1"
"China","2.4","Industries","Construction","F","2015","1000","Yuan Renminbi","2008","Western calendar year","4776130000000","1","1"
"China","2.4","Industries","Wholesale and retail trade, transportation and storage, accommodation and food service activities","G+H+I","2015","1000","Yuan Renminbi","2008","Western calendar year","11076360000000","1","1"
"China","2.4","Industries","Wholesale and retail trade; repair of motor vehicles and motorcycles","G","2015","1000","Yuan Renminbi","2008","Western calendar year","6771960000000","1","1"
"China","2.4","Industries","Transportation and storage","H","2015","1000","Yuan Renminbi","2008","Western calendar year","3073790000000","1","1"
"China","2.4","Industries","Accommodation and food service activities","I","2015","1000","Yuan Renminbi","2008","Western calendar year","1230610000000","1","1"
"China","2.4","Industries","Information and communication","J","2015","1000","Yuan Renminbi","2008","Western calendar year","1751680000000","1","1"
"China","2.4","Industries","Financial and insurance activities","K","2015","1000","Yuan Renminbi","2008","Western calendar year","5629980000000","1","1"
"China","2.4","Industries","Real estate activities","L","2015","1000","Yuan Renminbi","2008","Western calendar year","5373230000000","1","1"
"China","2.4","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2015","1000","Yuan Renminbi","2008","Western calendar year","70251150000000","2","2"

"footnote_SeqID","Footnote"
"1","Includes Taxes less subsidies on production and imports."
"2","Data in this table have been revised. Discrepancy with unrevised data in other tables may exist."
