"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"US000","0","10","10","0","2025","A","",12112924,155732363,12259226899972,2169142391282,36312176875,1514,78720,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",55554,0.5,741922,0.5,544286358863,4.6,48430625068,2.3,1184642597,3.4,60,4.1,3135,4.1
"US000","1","10","11","0","2025","A","",60834,2913515,307040347038,0,0,2027,105385,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-408,-0.7,-87692,-2.9,1107625661,0.4,0,0.0,0,0.0,67,3.4,3448,3.4
"US000","1","101","12","0","2025","A","",164,52264,5426038048,0,0,1997,103820,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",2,1.2,-1144,-2.1,1960233,0.0,0,0.0,0,0.0,44,2.3,2260,2.2
"US000","1","1011","13","0","2025","A","",74,3518,364484686,0,0,1992,103593,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-1,-1.3,-458,-11.5,-14931218,-3.9,0,0.0,0,0.0,157,8.6,8176,8.6
"US000","1","1012","13","0","2025","A","",4,26,4323011,0,0,3239,168429,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",0,0.0,-1,-3.7,-11711,-0.3,0,0.0,0,0.0,132,4.2,6887,4.3
"US000","1","1013","13","0","2025","A","",86,48720,5057230351,0,0,1996,103802,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",3,3.6,-684,-1.4,16903162,0.3,0,0.0,0,0.0,34,1.7,1780,1.7
"US000","1","102","12","0","2025","A","",60670,2861251,301614308990,0,0,2027,105413,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-410,-0.7,-86549,-2.9,1105665428,0.4,0,0.0,0,0.0,67,3.4,3470,3.4
"US000","1","1021","13","0","2025","A","",30546,658351,49161580456,0,0,1436,74674,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-250,-0.8,-11127,-1.7,1066937135,2.2,0,0.0,0,0.0,54,3.9,2835,3.9
"US000","1","1022","13","0","2025","A","",152,6362,654519785,0,0,1978,102874,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",2,1.3,-312,-4.7,-3064678,-0.5,0,0.0,0,0.0,83,4.4,4347,4.4
"US000","1","1023","13","0","2025","A","",829,12486,1973454109,0,0,3040,158060,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",0,0.0,-682,-5.2,-11832006,-0.6,0,0.0,0,0.0,141,4.9,7299,4.8
"US000","1","1024","13","0","2025","A","",1541,71099,7235889014,0,0,1957,101772,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",13,0.9,-1666,-2.3,-152571564,-2.1,0,0.0,0,0.0,4,0.2,233,0.2
"US000","1","1025","13","0","2025","A","",1486,437620,48494236907,0,0,2131,110813,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",21,1.4,-18932,-4.1,-49001007,-0.1,0,0.0,0,0.0,86,4.2,4487,4.2
"US000","1","1026","13","0","2025","A","",1422,46633,2988037608,0,0,1232,64075,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-8,-0.6,-2105,-4.3,-84010756,-2.7,0,0.0,0,0.0,20,1.7,1043,1.7
"US000","1","1027","13","0","2025","A","",163,4285,322696993,0,0,1448,75303,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-3,-1.8,-717,-14.3,-27432488,-7.8,0,0.0,0,0.0,102,7.6,5309,7.6
"US000","1","1028","13","0","2025","A","",24526,1624399,190782976717,0,0,2259,117448,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-188,-0.8,-51019,-3.0,366054809,0.2,0,0.0,0,0.0,73,3.3,3795,3.3
