"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"US000","0","10","10","0","2026","1","",12381750,154172010,154387351,154771941,3320292610180,1248591815398,21241971315,1654,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",418060,3.5,541787,0.4,165867,0.1,85572,0.1,129258047423,4.1,76374285110,6.5,984144571,4.9,62,3.9
"US000","1","10","11","0","2026","1","",60124,2728805,2733574,2712974,80410250448,0,0,2270,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",-950,-1.6,-274394,-9.1,-261224,-8.7,-270855,-9.1,-1221023016,-1.5,0,0.0,0,0.0,173,8.2
"US000","1","101","12","0","2026","1","",163,49102,48608,48722,1618626506,0,0,2551,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",-3,-1.8,-3918,-7.4,-4408,-8.3,-4300,-8.1,207290226,14.7,0,0.0,0,0.0,503,24.6
"US000","1","1011","13","0","2026","1","",73,2559,2598,2846,68658874,0,0,1980,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",-2,-2.7,-559,-17.9,-519,-16.7,-490,-14.7,-7089064,-9.4,0,0.0,0,0.0,154,8.4
"US000","1","1012","13","0","2026","1","",4,25,25,26,836352,0,0,2540,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",0,0.0,0,0.0,0,0.0,1,4.0,53500,6.8,0,0.0,0,0.0,131,5.4
"US000","1","1013","13","0","2026","1","",86,46518,45985,45850,1549131280,0,0,2584,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",-1,-1.1,-3359,-6.7,-3889,-7.8,-3811,-7.7,214325790,16.1,0,0.0,0,0.0,522,25.3
"US000","1","102","12","0","2026","1","",59961,2679703,2684966,2664252,78791623942,0,0,2265,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",-947,-1.6,-270476,-9.2,-256816,-8.7,-266555,-9.1,-1428313242,-1.8,0,0.0,0,0.0,167,8.0
"US000","1","1021","13","0","2026","1","",30277,651543,661530,660891,13592863284,0,0,1589,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",-403,-1.3,-14888,-2.2,-2587,-0.4,-2296,-0.3,544332934,4.2,0,0.0,0,0.0,79,5.2
"US000","1","1022","13","0","2026","1","",152,6062,6034,6043,174386424,0,0,2219,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",1,0.7,-521,-7.9,-533,-8.1,-470,-7.2,5791353,3.4,0,0.0,0,0.0,240,12.1
"US000","1","1023","13","0","2026","1","",827,10217,9740,9785,486509845,0,0,3775,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",-5,-0.6,-3387,-24.9,-3779,-28.0,-3622,-27.0,-88960365,-15.5,0,0.0,0,0.0,498,15.2
"US000","1","1024","13","0","2026","1","",1537,65523,63645,63172,1883243848,0,0,2260,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",10,0.7,-7930,-10.8,-9704,-13.2,-9800,-13.4,-49263341,-2.5,0,0.0,0,0.0,231,11.4
