2-12 ATM (大类) 、控股情况分组的企业法人单位数
企业法人
总 计                                                      29803508       305763       150023     29078984       148287       116502
Lae Se ae bla                                      A       115699,         1826         2903       110692,          174          104
农业                                                01          301          106           13          178           NA          NA
林业                                                02          139           96            4           39
畜牧业                                              03          176            7            4          161           NA          NA
渔业                                                04           56            6            .           45
Re aR. Ae. BSE RADE Bah                       05       115027         1611         2877       110269          170          100
采矿业                                                B        51567         3261          946        47102          170           88
煤炭开采和洗选业                                    06         9557         1272          196         8053           21           15
石油和天然气开采业                                   07          418          148           NA          (251            6           10
黑色金属矿采选业                                    08         6890          231          173         6458           22            6
有色金属矿采选业                                    09         4681          381          134         4107           39           20
SEW RL                                      10        24719         1067          400        23148           76           28
开采专业及辅助性活动                                 11         4022           95           25         3889            §            8
其他采矿业                                          12         1280           67           15         1196           NA          NA
制造业                                                村      4016224        22354        18789      3899786,        39077        36184
农副食品加工业                                      13       154039         1981         1498       148614          871         1075
食品制造业                                          14        82181          646          430        79213          933          959
酒、饮料和精制茶制造业                               15        70003          797          763        67410          507          525
烟草制品业                                          16          272           92            6          171           NA
纺织业                                              17       148977          305          544       145249         1880          999
纺织服装、服讳业                                     18       194662          479          620       189338         2712         1513
皮革、毛皮、羽毛及其制品和制鞋业                         19          88204             73            208          85855           1402            665
AMAIA s 1. Be. te. SHE                    20       132134          290          402       130800          369          273
家具制造业                                          21       108620           54          147       107205          761          453
造纸和纸制品业                                      22        90496          179          524        88455          948          389
印刷和记录媒介复制业                                 23        91452          807,         1384        88326          650          284
文教、工美、体育和娱乐用品制造业                         24         149352            177            473         144833           2429           1440
石油、煤炭及其他燃料加工业                           25        14675          339          122        14034           7          103
化学原料和化学制品制造业                             26       118383         1791         1074       111633         1817         2067
医药制造业                                          27        32996          691          231        30847          577          644
化学纤维制造业                                      28         8141           95           36         7766          144          100
橡胶和塑料制品业                                    29       239821          466         1010       233138         3135         2072
+2 RV pela                                    30       306359         3409         1851       298454         1503         1141
黑色金属冶炼和压延加工业                             31        24403          341          131        23577          169          185
有色金属冶炼和压延加工业                             32        33059          690          221        31535          299          33
金属制品业                                          33       454993          992         1589       447237         2928         2246
通用设备制造业                                      34       428751         1306         1787       419276         2429         3951
专用设备制造业                                      了       304134         1343          914       (295975         2644         3254
汽车制造业                                          36        94150         1053          388        88545         1045,         3117
铁路、船舶、航空航天和其他运输设备制造业              7        35738          552          196        34095          389          505
电气机械和器材制造业                                 38       256300         1126          931       248563         2962         2715
计算机、通信和其他电子设备制造业                      39       173480         1131          394       164236         3977         3734
仪器仪表制造业                                      40        60841          332          264        58548          776          921
其他制造业                                          41        29934           71           89        29056          466          (252
BRR RSAAR LE                                  42        22385          MT          117        21768           90           63
金属制品、机械和设备修理业                           43        67289          399          445        66034          185          226
