2-13 FRAT ML (大类) 、控股情况分组的企业法人单位从业人员数
fies 区 oe
peg                                                     342081484,     35722492      3967889    282549852,     10339681       9436838
Rw. KR. Bi                                            A         793533          37665          16296         734105           2210           3257
农业                                                01
林业                                                02
Bt                                              03
渔业                                                04
农、林、委、渔专业及辅助性活动                           05         793533          37665          16296         734105           2210           3257
采矿业                                                B      4696956       2921853        98441       1613682        28074        34906
煤炭开采和洗选业                                    06      2772385       1955049         65432        721616         13173         47115,
BRMRRAAR LE                                   07       511880       488980                       7188         4627         11085,
黑色金属矿采选业                                    08        313245         98672          9484       202649         2278           162
有色金属矿采选业                                    09       (293673        116046          6799        162580         4413          3835
非金属矿采选业                                      10       492878         63310         10162       414680         (2545         2181
开采专业及辅助性活动                                 11        299281        198734          6352         92638          1032           525
其他采矿业                                          12         13614          1062          212         12331             6           NA
制造业                                                ee     103682268       6853996       865002     83276164      6381793      6246197
农副食品加工业                                      13       3998295        145233        41757      3553338        114100        143867
食品制造业                                          14      (2531734        126701         21362      2043053        151196        189422
酒、饮料和精制茶制造业                                    15        1555025         254510          28257        1079154          80437         112095
烟草制品业                                          16        180322        139337          1688         37203         2094
纺织业                                              17      3840499         70356        47186       3390194       233061         99702
纺织服装、服讳业                                     18      4487342         62431         25277      3916997       345921        136716
皮革、毛皮、羽毛及其制品和制鞋业                         19        (2505057          12685           9748        2087163         (265484         129977
木材加工和木、攻、芯、棕、草制品业                    20      2196874         19500          6057      2141057         14082         16178
RABBLE                                          21       1983473          7339         (2858       1822535         91005         59736
造纸和纸制品业                                      22       1681615        47231         16407       1431744        128101         57842
印刷和记录媒介复制业                                 23       1543943         76695        20849       1319989         85911         40227
文教、工美、体育和娱乐用品制造业                         24        2863018          14925          11908        (2367576         337893         130716
石油、煤炭及其他燃料加工业        855066        375496          7090       450503         13078          8899
化学原料和化学制品制造业                             26      4365131        610023         56563       3298298        182543       (217541
医药制造业      2358757       236493        41660       1748250        163805        160685
化学纤维制造业                                      28       495063         67044         (2340        379691         30182         15806
SRB Ha                                    29      4925717        111952        29305      4152694        366608       265158
非金属矿物制品业                                    30       7117842       417452         50686       6350906        178585        120018
黑色金属冶炼和压延加工业                             31       2011352        533729         18504       1385511         33156        40452
有色金属冶炼和压延加工业                             32       1784457       422738         31350       1235082         56546         36553
金属制品业                                          33       7589148        192077        41777      6820704        305326       (227427
通用设备制造业                                      34       7907587       345530        48287      6714868       (237936        560488
专用设备制造业                                      35       6130078        339195        41246       5148863       258565        339751
汽车制造业                                          36       5549941        774857        43743       3542598        313861        856922
铁路、船舶、航空航天和其他运输设备制造业                 7        1490542         270691          10884,        1072353          57807,          78280
电气机械和器材制造业                                 38       8103198       (277529         92148       6655718        544482        513040
计算机、通信和其他电子设备制造业                         39       10308607         675116          79289        6382614        1628084        1539473
仪器仪表制造业                                      40       1504729         60776          9392       1230380         97533        106648
其他制造业                                          41        547200         4195          1297       474492         38634        (28582
BRABSSAAL                                  42       421459        (27058          6651        378875          6260         2615
金属制品、机械和设备修理业                           43        849197        135102         19436        663761         19517         11381
BD. BO. MARR a                      D      (4757904      3136891        114018      1327155       124752        55049
电力、热力生产和供应业                               44       3358833      (2378621         70764        845903        46225         17320
燃气生产和攻应业                                    45       454705        168494          6306        195372         57049        (27484
ke PAH                                    46        944366        589776         36948       285880        21478         10245,
建筑业                                                E      51169025      5869537       947286     44236505        67916        47536
房屋建筑业                                                 47      25868869        2632096         620255      (22563037          31125          22111
土木工程建筑业                                      48      11263094      (2737969       208891       8301003          6968          8263
建筑安装业                                          49       3849694        316976         94044       3416035         10821         11818
建筑装饰、装修和其他建筑业                           50      10187368        182496        (24096       9956430         19002          5344
批发和季售业                                          F      52741753      2182819       379817     48202302       977092       999447
批发业                                              51      29528810       1364097        173799     (26841345        505818        643490
