单位: 亿元
企业      营业      利润     平均用工     营业      销售      管理      财务      流动      其中:       本      其中:       资产       负债
it              41800    211433.7    9031.5     1163.9    183130.6    4811.7    6072.4     389.3    169562.8    60929.4    29500.6    10979.1   275459.6   154128.9
在总计中: 国有控股企业                1115     18951.9    515.0     76.0     16301.7    445.8     4873     118.8     17592.0    4975.0    3874.9     1340.7    35554.7    18723.5
私营企业                    26982     61578.7     3383.0     415.8     50023.7     2075.6     2479.9     160.4     521183    17678.1     9764.7     3766.6     9412.2    452454
外商及港澳台投资企业            5838     67208.0     3232.9     363.0     59919.2     1006.8     1641.6     -95.5     48152.6    182663     7674.1     2568.1     75862.9    37844.0
二、按企业规模分类
在总计中: 大中型工业                  6903     166834.8    7744.8     844.6     144839.5    3762.5     4068.1     169.8     131156.3    46946.5    21536.3     7842.1    218143.0    120644.5
三、按行业分类
(一) 雷达及配套设备制造                     134        139.1        5         15        97.1        65        B2        07        262.3        98.3        559        146        332.1       162.1
(=) 通信设备制造                            2418       47801.0      2281.9       155.9       40307.8       1508.0       1098.6       -30.5       35764.4      131448      5681.3       17718      473203      29233.2
(=) 广播电视设备制造                    676       2038.5      118.1       163       1693.3      66.7       82.2       -2.6       1514.6      550.7      265.6       94.8      2694.1      1133.2
(四) 电子计算机制造                      3396      25100.4      664.7      112.1      23145.4      371.0      419.6      36.6      15170.1     7105.6      3054.5      999.7      19659.7     122759
(五) 非专用视听设备制造                     1222       6934.9       185.9        35.9       6262.3       161.7       181.9        55        4645.1       1755.9       845.4       333.1       6263.4      4104.5
OW) 仪器仪表制造业                          2006       3413.0       403.8        32.5        2213.2       319.7        255.5        -7.0        4033.9       1095.2       802.0        264.2       6145.1       2308.1
(4) 电子和电工机械专用设备制造             2532      4643.5      288.6       38.4      3599.7      150.4      247.9       21.3      7104.5      1824.7      22172      971.5      9767.3      5923.5
(八) 电子元件制造电子元件及专用材料制造       10903      34488.6     1483.4      279.8      30253.6      453.9      1209.1      131.7      26321.7     9249.2      4642.0      1864.3     47348.5     238323
CH) 电子器件制造                       9312      36525.1      1434.0      240.0      31560.2      483.8      1187.1      186.3      34110.2     10663.4     5920.8      1949.9     69700.1     33930.4
(十) 电气机械和器材制造业                 5231      36422.2      1590.6      158.7      32066.6      935.4      921.6      103.6      30197.1     11023.3     3988.3      1870.6     514259     32709.0
(十一) 智能硬件设备制造                     2092       8896.3       298.1        55.5       7120.6       223.5       254.2        13.9       64803       2923.4       1148.0       488.5       9019.5       5440.9
(十二) 其他电子设备制造                      1878        5031.1       275.2        373        4210.8       131.1        201.5        3.0        3958.6       1494.9       879.6        356.1       5783.6       3075.8
四、按省、自治区、直辖市分列
dk                  467    6621.6    413.7    12.0    5704.3    2573    1778    40.9    8314.4   1433.7   14162    527.0   12482.5   6780.5
天 津                  377    2464.1    116.9    10.6    2185.8    412    60.4     2.0    1781.2    650.5    464.9    162.2    2894.1    1345.7
河 北                  490    1330.8    343    96    1185.7    5    49.7    20.1    1922.2    475.8    243.1    71.0    3698.5   2263.9
i                 163    1459.5    -70    93    1418.5    57    20.8    23    942.2    342.0    154.8    72.0    1419.5    832.5
