level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	360	27017	-1	
2	1	1	0	0	0	0	9	333	26934	-1	
3	1	1	1	0	0	0	9	333	26934	-1	
4	1	1	1	1	0	8	9	325	16	-1	
5	1	1	1	1	1	8	14	1	11	95.090530	1
5	1	1	1	1	2	87	10	8	10	91.531685	规模
5	1	1	1	1	3	127	20	1	4	75.134445	!
5	1	1	1	1	4	178	9	25	15	89.079353	工业
5	1	1	1	1	5	246	11	41	13	46.774860	V3
5	1	1	1	1	6	332	19	1	4	0.000000	;
4	1	1	1	2	0	4	211	42	12	-1	
5	1	1	1	2	1	4	211	12	12	91.838165	总
5	1	1	1	2	2	34	211	12	12	91.838165	计
4	1	1	1	3	0	4	243	40	12	-1	
5	1	1	1	3	1	4	243	40	12	80.524200	采矿
5	1	1	1	3	2	36	239	12	24	92.317413	业
4	1	1	1	4	0	4	275	102	12	-1	
5	1	1	1	4	1	4	275	102	12	37.384377	煤炭
5	1	1	1	4	2	33	271	24	24	95.259354	开采
5	1	1	1	4	3	57	271	14	24	93.305702	和
5	1	1	1	4	4	70	271	19	24	85.827522	洗
5	1	1	1	4	5	88	271	13	24	92.800110	选
5	1	1	1	4	6	100	271	10	24	91.380035	业
4	1	1	1	5	0	18	307	128	12	-1	
5	1	1	1	5	1	18	303	29	24	95.169617	烟煤
5	1	1	1	5	2	47	307	8	12	96.708687	和
5	1	1	1	5	3	60	308	8	11	90.132065	无
5	1	1	1	5	4	75	307	19	12	90.849625	烟煤
5	1	1	1	5	5	101	307	19	12	93.264465	开采
5	1	1	1	5	6	125	307	8	12	84.737595	洗
5	1	1	1	5	7	140	307	6	12	92.691406	选
4	1	1	1	6	0	18	339	76	12	-1	
5	1	1	1	6	1	18	339	76	12	28.343639	RARE
4	1	1	1	7	0	18	371	76	12	-1	
5	1	1	1	7	1	18	371	76	12	36.166084	SERIA
4	1	1	1	8	0	4	403	115	12	-1	
5	1	1	1	8	1	4	403	115	12	81.655128	石油
5	1	1	1	8	2	34	399	11	24	96.599396	和
5	1	1	1	8	3	45	399	15	24	92.346550	天
5	1	1	1	8	4	60	399	15	24	0.000000	然
5	1	1	1	8	5	75	399	12	24	93.061897	气
5	1	1	1	8	6	87	399	23	24	92.895706	开采
5	1	1	1	8	7	109	399	14	24	86.719215	业
4	1	1	1	9	0	18	435	50	12	-1	
5	1	1	1	9	1	18	435	24	12	84.546135	石油
5	1	1	1	9	2	48	435	20	12	95.846420	开采
4	1	1	1	10	0	32	467	76	12	-1	
5	1	1	1	10	1	32	467	24	12	96.644753	陆地
5	1	1	1	10	2	62	463	26	24	93.444267	石油
5	1	1	1	10	3	88	467	20	12	72.622963	开采
4	1	1	1	11	0	32	499	76	12	-1	
5	1	1	1	11	1	32	499	32	12	96.563629	海洋
5	1	1	1	11	2	71	495	17	24	96.212822	石油
5	1	1	1	11	3	88	499	20	12	83.748756	开采
4	1	1	1	12	0	18	531	63	12	-1	
5	1	1	1	12	1	18	531	63	12	91.629753	天
5	1	1	1	12	2	35	527	15	24	25.519314	然
5	1	1	1	12	3	50	527	11	24	93.127365	气
5	1	1	1	12	4	60	531	21	12	92.420326	开采
4	1	1	1	13	0	32	563	89	12	-1	
5	1	1	1	13	1	32	563	89	12	96.274452	陆地
5	1	1	1	13	2	59	559	16	24	92.794479	天
5	1	1	1	13	3	74	559	16	24	74.838402	然
5	1	1	1	13	4	89	559	13	24	93.264587	气
5	1	1	1	13	5	101	559	23	24	95.144958	开采
4	1	1	1	14	0	32	595	141	12	-1	
5	1	1	1	14	1	32	595	24	12	96.522957	海洋
5	1	1	1	14	2	61	596	8	11	92.849892	天
5	1	1	1	14	3	76	595	14	12	86.855881	然
5	1	1	1	14	4	89	591	13	24	93.189598	气
5	1	1	1	14	5	101	596	7	11	96.246117	及
5	1	1	1	14	6	112	596	9	11	93.211647	可
5	1	1	1	14	7	125	595	9	12	5.269079	燃
5	1	1	1	14	8	139	595	8	12	27.747856	冰
5	1	1	1	14	9	151	595	22	12	87.693611	开采
4	1	1	1	15	0	4	626	102	13	-1	
5	1	1	1	15	1	4	627	32	12	84.497444	黑色
5	1	1	1	15	2	43	626	20	13	91.773117	金属
5	1	1	1	15	3	62	622	10	25	90.005943	矿
5	1	1	1	15	4	71	627	17	12	88.897491	采
5	1	1	1	15	5	87	622	13	25	73.252350	选
5	1	1	1	15	6	100	627	6	12	89.488106	业
4	1	1	1	16	0	18	659	50	12	-1	
5	1	1	1	16	1	18	659	50	12	50.376740	铁
5	1	1	1	16	2	35	655	12	24	90.924103	矿
5	1	1	1	16	3	47	659	14	12	83.200562	采
5	1	1	1	16	4	60	655	11	24	71.602928	选
4	1	1	1	17	0	18	691	89	12	-1	
5	1	1	1	17	1	18	691	89	12	21.001152	jail
5	1	1	1	17	2	48	687	2	24	12.421045	s
5	1	1	1	17	3	58	687	22	24	31.645460	Har
5	1	1	1	17	4	84	691	23	12	20.785618	Sei
