country,industry_id,name_zh,name_en,bea_line,period,current_value_added_usd_million,source_url,sheet,cell,release_date,vintage
US,us-agriculture,农业、林业、渔业和狩猎业,"Agriculture, forestry, fishing, and hunting",3,2021,230723,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AB11,2026-06-25,2026-06-25
US,us-agriculture,农业、林业、渔业和狩猎业,"Agriculture, forestry, fishing, and hunting",3,2022,294048,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AC11,2026-06-25,2026-06-25
US,us-agriculture,农业、林业、渔业和狩猎业,"Agriculture, forestry, fishing, and hunting",3,2023,270441,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AD11,2026-06-25,2026-06-25
US,us-agriculture,农业、林业、渔业和狩猎业,"Agriculture, forestry, fishing, and hunting",3,2024,269686,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AE11,2026-06-25,2026-06-25
US,us-agriculture,农业、林业、渔业和狩猎业,"Agriculture, forestry, fishing, and hunting",3,2025,272014,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AF11,2026-06-25,2026-06-25
US,us-mining,采矿业,Mining,6,2021,336076,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AB14,2026-06-25,2026-06-25
US,us-mining,采矿业,Mining,6,2022,466944,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AC14,2026-06-25,2026-06-25
US,us-mining,采矿业,Mining,6,2023,411819,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AD14,2026-06-25,2026-06-25
US,us-mining,采矿业,Mining,6,2024,404248,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AE14,2026-06-25,2026-06-25
US,us-mining,采矿业,Mining,6,2025,384285,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AF14,2026-06-25,2026-06-25
US,us-utilities,公用事业,Utilities,10,2021,392948,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AB18,2026-06-25,2026-06-25
US,us-utilities,公用事业,Utilities,10,2022,440787,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AC18,2026-06-25,2026-06-25
US,us-utilities,公用事业,Utilities,10,2023,457772,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AD18,2026-06-25,2026-06-25
US,us-utilities,公用事业,Utilities,10,2024,454357,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AE18,2026-06-25,2026-06-25
US,us-utilities,公用事业,Utilities,10,2025,471246,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AF18,2026-06-25,2026-06-25
US,us-construction,建筑业,Construction,11,2021,1012113,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AB19,2026-06-25,2026-06-25
US,us-construction,建筑业,Construction,11,2022,1112415,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AC19,2026-06-25,2026-06-25
US,us-construction,建筑业,Construction,11,2023,1224556,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AD19,2026-06-25,2026-06-25
US,us-construction,建筑业,Construction,11,2024,1305402,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AE19,2026-06-25,2026-06-25
